1|200|1000 x 1000|11.6675
1|200|1000 x 1000|11.3861
1|200|1000 x 1000|11.5051
1|200|1000 x 1000|11.9937
2|112|1000 x 1000|5.8062
2|106|1000 x 1000|5.7235
2|101|1000 x 1000|5.74618
2|104|1000 x 1000|5.75341
4|65|1000 x 1000|3.25867
4|56|1000 x 1000|3.27023
4|63|1000 x 1000|3.20524
4|64|1000 x 1000|3.17777
8|46|1000 x 1000|3.17064
8|49|1000 x 1000|3.16164
8|33|1000 x 1000|3.25713
8|33|1000 x 1000|3.17252
16|37|1000 x 1000|3.17071
16|22|1000 x 1000|3.17992
16|36|1000 x 1000|3.19608
16|23|1000 x 1000|3.16469
32|30|1000 x 1000|3.1853
32|16|1000 x 1000|3.20791
32|14|1000 x 1000|3.17019
32|28|1000 x 1000|3.32134
